Question,Answer
Is the Jio Motorola g35 2024 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable to both existing as well as new Jio subscribers."
Can I avail of any other offer along with the Jio Motorola g35 2024?,"No, you can’t club two or more offers."
"How will I get to know if the discount coupons, under the Jio Motorola g35 2024, have been credited to my account? Where can I view the vouchers?",You will be notified through an appropriate channel once the discount coupons are credited to your account. You can view the discount coupons under the ‘My Vouchers’ section of the MyJio app.
What is the validity of the Jio discount coupons?,The Partner Offers discount coupons of the Jio Motorola g35 2024 are valid till 31st March 2025 and Cashback vouchers are valid till 31st May 2030.
Is the Jio Motorola g35 2024 applicable to all the variants of 5G devices?,The Jio Motorola g35 2024 is applicable to select variants/eligible devices (Motorola g35). Please note that the offer is only applicable to the Indian variants of eligible devices.
What is the start and end date of Jio Motorola g35 Offer?,The Offer shall start from 10th December 2024 till 31st May’ 2025.
What is the Jio OnePlus 11 Series Offer ?,"“Jio OnePlus 11 Series Offer” entitles Additional Data of 50 GB with 30 days validity for maximum 40 times to Eligible Active existing Subscribers who have Rs.699 Jio Postpaid Plan in Eligible Device. The Offer shall be open to all Eligible Subscribers on or after 11th Feb 2023 for Eligible Device Group-1. For Eligible Devices, One pack of 50 GB will be provided under the Offer, which can be applied by the Eligible Subscriber, through MyJio App during the Billing Cycle. Eligible Subscribers would also get also get coupons from Ixigo and Easydiner.in in MyJio app. 
 
 
 
   
 Eligible Devices 
 
 
 Group -1 
 OnePlus 11 Series"
From when is Jio OnePlus 11 Series Offer valid?,"The offer is valid for Eligible Devices activated on the RJIO network for the first time, on or after 11th Feb 2023 on Rs.699 Postpaid Plan provided by RJIO"
"Will the Jio OnePlus 11 Series Offer be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio OnePlus 11 Series” is available for all Eligible Devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio OnePlus 11 Series applicable to existing Jio subscribers as well?,"No, the offer is applicable for existing RJIO Postpaid subscribers of Rs. 699 postpaid plan."
Can I avail any other offer along with the Jio OnePlus Series 11 Offer ?,"No, two or more offers cannot be clubbed together."
What is validity of Additional Data Pack?,"Additional Data pack have 30 days validity and maximum 40 times for Jio OnePlus 11 Offer customers, Un-used data will be forfeited after validity expiry."
Is the Jio OnePlus Anniversary Offer applicable on all the variants of OnePlus 11 devices?,"No, it is applicable only on the Indian variants of Eligible Devices."
What is the Jio iPhone 15 Offer?,"If you are buying an iPhone 15 from Reliancedigital.in, JioMart or Reliance Retail store, you are eligible for a complimentary 6-month plan of ₹399/month (3 GB/day, unlimited voice calls, 100 SMS/day). 

This offer is applicable for new prepaid activations on plans worth ₹149 and above and will work only on iPhone 15 devices."
What is the start date of the Jio iPhone 15 Offer?,The ‘Jio iPhone 15 Offer’ is a limited period offer starting 22 September 2023. You will be eligible for the offer on purchasing an iPhone 15 device and a new prepaid Jio SIM during the offer period. Please ensure that you insert the new prepaid Jio SIM in a new iPhone 15 within 7 days of purchasing the device.
How do I claim the Jio iPhone 15 Offer?,The ‘Jio iPhone 15 Offer’ will be auto-credited within 72 hours on your mobile connection once you insert and activate your new prepaid Jio SIM in your new iPhone 15 device during the offer period.
Where can I purchase the iPhone 15 to avail of the Jio iPhone 15 Offer?,"You can purchase iPhone 15 online or offline from Reliancedigital.in, JioMart or Reliance Retail store along with a new Jio prepaid SIM to claim the ‘Jio iPhone 15 Offer’. Devices purchased from any other online/offline channel will not be eligible for this offer."
Can I transfer the Jio iPhone 15 Offer to any other Jio number?,"The ‘Jio iPhone 15 Offer’ is non-transferable. Once credited, it will only work on the Jio SIM on which the offer has been provided."
Is the Jio iPhone 15 Offer available to existing Jio subscribers as well?,"The offer is applicable only on new Jio SIM prepaid connections activated during the offer period along with a new iPhone 15 device purchased from Reliancedigital.in, JioMart or Reliance Retail store."
"I am not a Jio user. I purchased an iPhone 15 from Reliancedigital.in, JioMart or Reliance Retail store. How do I avail of the Jio iPhone 15 Offer?",You can avail of the offer after porting your existing number to the Jio network within the offer period to get the benefits of the ‘Jio iPhone 15 Offer’. Kindly ensure that you port to Jio within 7 days of purchase of the new iPhone 15 device.
How long will it take for the Jio iPhone 15 Offer to be credited to my account?,You will be notified through SMS/email once the ‘Jio iPhone 15 Offer’ is credited to your mobile number. You can view the details on the MyJio app and Jio.com.
What is the Jio Vivo V30 Offer?,"The Jio Vivo V30 Offer entitles a discount of ₹150/- in each billing cycle which can be availed a maximum of 15 times by eligible subscribers who activate a new postpaid connection and subscribe to a postpaid plan of ₹649 and above on or after the 5th of March 2024. 
 The offer shall be open for all eligible subscribers who purchase eligible devices under Group - 1 on or after the 5th of March 2024. 
 The discount shall be applied automatically at the end of the billing cycle. 
 
 
 
   
 Eligible Devices 
 
 
 Group - 1 
 Vivo V30 Series"
What is the 'Jio Vivo X100 Offer'?,"The ‘Jio Vivo X100 Offer’ comes with an additional data of 10 GB with 30 days of validity for a maximum of 36 times and a ₹99 discount for a maximum of 36 times to eligible active subscribers who have the ₹749 Jio Postpaid Plan on an eligible device. 
 The offer shall be open to all eligible subscribers on or after 12th Jan 2024 for Eligible Device Group-1. For eligible devices, one pack of 10 GB will be provided under the offer, which can be applied by an eligible subscriber, via the MyJio app, during the billing cycle. 
 If you are an eligible subscriber, you will also get coupons from Ajio, Yatra, and Growfitter in the MyJio app. 
 
 
 
   
 Eligible Devices 
 
 
 Group - 1 
 Vivo X100"
What is the validity of the Jio Vivo V30 Offer?,"The Jio Vivo V30 Offer is valid for eligible devices purchased and activated on the Reliance Jio (RJIO) network for the first time, on or after the 5th of March 2024, upon activating a new postpaid connection and upon subscription to a postpaid plan of ₹649 and above."
What is the validity of the Jio Vivo X100 Offer ?,"The ‘Jio Vivo X100 Offer’ is valid for eligible devices activated on the RJIO (Reliance Jio) network for the first time, on or after 12th Jan 2024 upon subscribing to ₹749 Postpaid Plan provided by RJIO."
How do I claim the Jio Vivo V30 Offer?,The discount of the Jio Vivo V30 Offer shall be automatically applied at the end of the billing cycle.
How do I claim the Jio Vivo X100 Offer ?,"As an eligible subscriber, you can avail of an additional 10 GB of data under the ‘Jio Vivo X100 Offer’. You will also get coupons from Ajio, Yatra and Growfitter in the MyJio app under the ‘My Coupons’ section."
"Will the Jio Vivo V30 Offer be available, if I purchase an eligible device from an e-commerce site?","Yes, the Jio Vivo V30 offer is available for all eligible devices, purchased from stores as well as e-commerce sites in India during the offer period."
"Will the Jio Vivo X100 Offer be available, if I purchase an eligible device from e-commerce sites?","Yes, you can avail of the ‘Jio Vivo X100 Offer’ for all eligible devices purchased from stores as well as e-commerce sites in India during the offer period.."
Is the Jio Vivo X100 Offer applicable to existing Jio subscribers as well?,"Yes, the offer is applicable to existing as well as new RJIO postpaid subscribers with the ₹749 postpaid plan."
Can I avail of any other offer along with the Jio Vivo V30 Offer?,"No, you can’t club two or more offers together."
Can I avail of any other offer along with the Jio Vivo X100 Offer ?,"No, you can’t avail of two or more offers at the same time."
Is the Jio Vivo V30 Offer applicable on all the variants of Vivo V30 devices?,"No, the Jio Vivo V30 Offer is applicable only to the Indian variants of eligible devices."
What is the validity of the additional data pack?,"As per the ‘Jio Vivo X100 Offer’, additional data packs have a validity of 30 days and a maximum of 36 times for eligible customers. Any unused data will be forfeited once the validity expires."
Is the Jio Vivo X100 Offer applicable to all the variants of Vivo X100 devices?,"No, the ‘Jio Vivo X100 Offer’ is applicable only to the Indian variants of eligible devices."
What is the Jio Motorola G72Offer 2022?,"“Jio Motorola G72Offer 2022” entitles a cashback of Rs. 4000 for eligible devices on Jio network for the first time by performing a recharge of Rs.1199 Jio prepaid plan on or after 3rd October2022. For eligible devices, upon 1st successful recharge of Rs. 1199, 40 discount coupons of Rs. 100 each will be credited in MyJio app which can be applied one at a time per recharge, against subsequent recharges of Jio plan of Rs. 1199, via MyJio App only.  
 The customers would also get also get coupons from Zee5 & Myntra in MyJio app."
From when is Jio Motorola G72 Offer 2022 valid?,"The offer is valid for eligible devices, purchased on or after 3rd October2022and activated on the Jio network for the first time, on or after 3rd October2022. The first recharge of Rs. 1199 Jio Prepaid Plan should be done on or after 3rd October2022 by the eligible subscriber to avail the offer."
From when can I claim the Jio Motorola G72Offer 2022?,The first recharge of ₹1199 Jio prepaid plan should be done on or after 3rd October 2022 by the eligible subscriber to avail the offer.
How do I Claim the Jio Motorola G72 Offer 2022?,"The 40 discount coupons of ₹100 each, that are received in your MyJio App, by performing a successful Jio recharge of ₹1199, on or after 3rd October 2022, can be applied one at a time, against subsequent Jio recharges of ₹1199, via MyJio app only. The discount coupons, if unused, will expire by 31st May 2030."
"Can the discount coupon, under the Jio Motorola G72 Offer 2022 be transferred to any other Jio number?","No, the discount coupons are non-transferable."
"Will the Jio Motorola G72 Offer 2022 be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio Motorola G72 Offer 2022” is available for all eligible devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio Motorola G72 Offer 2022 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable for both existing as well as new Jio subscribers."
Can I avail any other offer along with the Jio Motorola G72 Offer 2022?,"No, two or more offers cannot be clubbed together."
"How will I get to know if the discount coupons, under the Jio Motorola G72 Offer 2022 has been credited to my account? And where can I view the vouchers?",You will be notified through appropriate channel when the discount coupons have been credited to your account. You can view the discount coupons under the “My Vouchers” section in MyJio app.
What is validity of discount coupons for Jio Motorola G72 Offer 2022 ?,The discount coupons are valid till 31st May 2030.
Is the Jio Motorola G72 Offer 2022 applicable on all the variants of 5G devices?,"No, it is applicable only on the Indian variants of eligible devices."
What is the Jio OnePlus Nord CE 4 Lite Offer ?,"“Jio OnePlus Nord CE 4 Lite Offer” entitles a discount of Rs. 150/- in each Billing Cycle which can be availed maximum 15 times by Eligible Subscribers who activate new Postpaid connection and subscribe to Rs. 649 and above Postpaid Plan on or after 27th June 2024. 
 The Offer shall be open for all Eligible Subscribers who purchases Eligible Device under Group-1 on or after 27th June 2024. 
 The Discount shall be applied automatically at the end of the Billing Cycle. 
 
 
 
 
   
 E ligible Devices 
 
 
 Group - 1 
 OnePlus Nord CE 4 Lite Series"
From when is Jio OnePlus Nord CE 4 Lite Offer valid?,"The offer is valid for Eligible Devices purchased and activated on the RJIO network for the first time, on or after 27th June 2024, activating new Postpaid connection and upon subscription to Rs. 649 and above Postpaid Plan on or after 27th June 2024."
How do I Claim the Jio OnePlus Nord CE 4 Lite Offer ?,The Discount shall be automatically applied at the end of the Billing Cycle.
"Will the Jio OnePlus Nord CE 4 Lite Offer be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio OnePlus Nord CE 4 Lite” is available for all Eligible Devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio OnePlus Nord CE 4 Lite Offer applicable on all the variants of OnePlus Open devices?,"No, it is applicable only to the Indian variants of Eligible Devices."
Can I avail of any other offer along with the Jio OnePlus Nord CE 4 Lite Offer ?,"No, two or more offers cannot be clubbed together."
Is the Jio OnePlus Nord CE 4 Lite Offer applicable to existing RJIO subscribers as well?,Offer is applicable for only new to Postpaid RJIO subscribers who have subscribed to an Rs. 649 and above Postpaid Plan.
What is the Jio OnePlus 12 Offer?,"The Jio OnePlus 12 Offer entitles a discount of ₹150 in each billing cycle which can be availed a maximum of 15 times by eligible subscribers who activate new Postpaid connection and subscribe to Rs. 649 and above Postpaid plan on or after 10th February 2024. 
 
 The offer shall be open to all eligible subscribers who purchase an eligible device under Group - 1 on or after 10th February 2024. 
 The discount shall be applied automatically at the end of the billing cycle. 
 
 
 
 
   
 E ligible Devices 
 
 
 Group - 1 
 OnePlus 12 Series"
What is the validity of the Jio OnePlus 12 Offer?,"The offer is valid for eligible devices purchased and activated on the Reliance Jio (RJIO) network for the first time, on or after 10th February 2024, activating new Postpaid connection and upon subscription to Rs. 649 and above Postpaid plan on or after 31st January 2024."
How can I claim the Jio OnePlus 12 Offer?,The discount shall be automatically applied at the end of the billing cycle.
"Will the Jio OnePlus 12 Offer be available, if I purchase an eligible device from e-commerce sites?","Yes, the Jio OnePlus 12 Offer is available to all eligible devices, purchased from stores as well as e-commerce sites in India during the offer period."
Is the Jio OnePlus 12 Offer applicable to existing Reliance Jio subscribers as well?,Jio OnePlus 12 Offer is applicable only to new to Pospaid users who have subscribed to Rs. 649 and above Postpaid plan..
Can I avail of any other offer along with the Jio OnePlus 12 Offer?,"No, you can’t club two or more offers."
Is the Jio OnePlus 12 Offer applicable on all the variants of OnePlus Open devices?,"No, the Jio OnePlus 12 Offer is applicable only to the Indian variants of eligible devices."
What is the Jio Narzo N53 2023 Offer ?,"""Jio Narzo N53 2023 Offer"" entitles Additional Data of 10 GB with 30 days validity for maximum 10 times to Eligible Active Subscribers who have Rs.449 Jio Postpaid Plan in Eligible Device. The Offer shall be open to all Eligible Subscribers on or after 24th May 2023 for Eligible Device Group-1. For Eligible Devices, One pack of 10 GB will be provided under the Offer, which can be applied by the Eligible Subscriber, through MyJio App during the Billing Cycle. Eligible Subscribers would also get also get coupons from EazyDiner , Abhi Bus , Ferns and Petals , McDonalds in MyJio app. 
 
 
 
 
 
   
 
 Eligible Devices 
 
 
 
 
 Group -1 
 
 
 Narzo N53"
From when is Jio Narzo N53 2023 Offer valid?,"The offer is valid for Eligible Devices activated on the RJIO network for the first time, on or after 24th May 2023 upon subscribing to Rs. 449 Postpaid Plan provided by RJIO"
How do I Claim the Jio Narzo N53 2023 Offer ?,"Additional 10 GB data will be provided under the Offer, can be applied by the Eligible Subscriber. Eligible Subscribers would also get also get coupons from Ixigo , Easydiner.in and ET Prime in MyJio app under “My Coupons” section."
"Will the Jio Narzo N53 2023 Offer be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio Narzo N53 2023” is available for all Eligible Devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio Narzo N53 2023 Offer applicable to existing Jio subscribers as well?,"Yes, the offer is applicable for existing as well as new RJIO Postpaid subscribers of Rs. 449 postpaid plan."
Can I avail any other offer along with the Jio Narzo N53 2023 Offer ?,"No, two or more offers cannot be clubbed together."
What is validity of Additional Data Pack?,"Additional Data pack have 30 days validity and maximum 10 times for Jio customers, Un-used data will be forfeited after validity expiry."
Is the Jio Narzo N53 2023 Offer applicable on all the variants of Narzo devices?,"No, it is applicable only on the Indian variants of Eligible Devices."
What is the Jio Realme P-Series Offer 2024?,"“Jio Realme P-Series Offer 2024” entitles a cashback of ₹2000 for eligible devices on Jio network for the first time by performing a recharge of ₹449 Jio prepaid plan on or after 22nd April 2024. For eligible devices, upon 1st successful recharge of ₹449, 40 discount coupons of ₹50 each will be credited in MyJio app which can be applied one at a time per recharge, against subsequent recharges of Jio plan of ₹449, via MyJio App only. 
 
 The customers would also get coupons from Swiggy, Ajio, Easemytrip, Abhibus in MyJio app."
From when is Jio Realme P-Series Offer 2024 valid?,"The offer is valid for eligible devices, purchased on or after 22nd April 2024 and activated on the Jio network for the first time, on or after 22nd April 2024. The first recharge of ₹449 Jio Prepaid Plan should be done on or after 22nd April 2024 by the eligible subscriber to avail the offer."
From when can I claim the Jio Realme P-Series Offer 2024?,The first recharge of ₹449 Jio prepaid plan should be done on or after 22nd April 2024 by the eligible subscriber to avail the offer.
How do I Claim the Jio Realme P-Series Offer 2024?,"The 40 discount coupons of ₹50 each, that are received in your MyJio App, by performing a successful Jio recharge of ₹449, on or after 22nd April 2024, can be applied one at a time, against subsequent Jio recharges of ₹449, via MyJio app only. The discount coupons, if unused, will expire by 31st May 2030."
"Can the discount coupon, under the Jio Realme P-Series Offer 2024 be transferred to any other Jio number?","No, the discount coupons are non-transferable."
"Will the Jio Realme P-Series Offer 2024 be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio Realme P-Series Offer 2024” is available for all eligible devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio Realme P-Series Offer 2024 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable for both existing as well as new Jio subscribers."
Can I avail any other offer along with the Jio Realme P-Series Offer 2024?,"No, two or more offers cannot be clubbed together."
"How will I get to know if the discount coupons, under the Jio Realme P-Series Offer 2024 has been credited to my account? And where can I view the vouchers?","No, two or more offers cannot be clubbed together."
Is the Jio Realme P-Series Offer 2024 applicable on all the variants of 5G devices?,It is applicable only on the Indian variants of eligible devices.
What is the Jio Motorola g04 Offer 2024?,"a) The offer entitles a cashback of ₹2000 for eligible devices on the Jio network for the first time by performing a recharge of ₹449 Jio prepaid plan on or after 30th January 2024. For eligible devices, upon 1st successful recharge of ₹449, 40 discount coupons of ₹50 each will be credited to the MyJio app which can be applied one at a time per recharge, against subsequent recharges of the Jio plan of ₹449, only via the MyJio app. 
 b) You will also get coupons from Ajio, Netmeds, and Yatra in the MyJio app."
What is the validity of the Jio Motorola g04 Offer 2024?,"The Jio Motorola g04 Offer 2024 is valid for eligible devices, purchased on or after 15th February 2024and activated on the Jio network for the first time, on or after 30th January 2024. You have to do the first recharge of ₹449 Jio prepaid plan on or after 15th February 2024to avail of the offer."
"Can the discount coupon, under the Jio Motorola g04 Offer 2024 be transferred to any other Jio number?","No, the discount coupons under the Jio Motorola g04 Offer 2024 are non-transferable."
How can I claim the Jio Motorola g04 Offer 2024?,"Once you perform a successful Jio recharge of ₹449, on or after 30th Jan 2024, 40 discount coupons of ₹50 each will be credited to your MyJio app. You can apply the coupons one at a time, against subsequent Jio recharges of ₹449, via the MyJio app only. The discount coupons, if unused, will expire by 31st May 2030."
Is the Jio Motorola g04 Offer 2024 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable to both existing as well as new Jio subscribers."
Can I avail of any other offer along with the Jio Motorola g04 Offer 2024?,"No, you can’t club two or more offers."
"How will I get to know if the discount coupons, under the Jio Motorola g04 Offer 2024, have been credited to my account? Where can I view the vouchers?",You will be notified through an appropriate channel once the discount coupons are credited to your account. You can view the discount coupons under the ‘My Vouchers’ section of the MyJio app.
Is the Jio Motorola g04 Offer 2024 applicable to all the variants of 5G devices?,The Jio Motorola g04 Offer 2024 is applicable to select variants/eligible devices (Motorola g04). Please note that the offer is only applicable to the Indian variants of eligible devices.
What is the validity of the Jio discount coupons for Jio Motorola g04 Offer 2024?,"The discount coupons of the Jio Motorola g04 Offer 2024 are valid till 31st May 2030.

Please note that all Partner Offers are valid till 31st March 2024."
When can I claim the Jio Motorola g04 Offer 2024?,You have to do the first recharge of ₹449 Jio prepaid plan on or after 15th February 2024 to avail of the Jio Motorola g04 Offer 2024.
What is the Jio Motorola edge50 Fusion Offer 2024?,"“Jio Motorola edge50 Fusion Offer 2024” entitles a cashback of Rs. 2000 for eligible devices on Jio network for the first time by performing a recharge of Rs.449 Jio prepaid plan on or after 16th May 2024. For eligible devices, upon 1st successful recharge of Rs. 449, 40 discount coupons of Rs. 50 each will be credited in MyJio app which can be applied one at a time per recharge, against subsequent recharges of Jio plan of Rs. 449, via MyJio App only. 
 The customers would also get coupons from Swiggy, Ajio, Easemytrip, Abhibus in MyJio app."
From when is Jio Motorola edge50 Fusion Offer 2024 valid?,"The offer is valid for eligible devices, purchased on or after 16th May 2024 and activated on the Jio network for the first time, on or after 16 th  May 2024. The first recharge of Rs. 449 Jio Prepaid Plan should be done on or after 16 th  May 2024 by the eligible subscriber to avail the offer."
From when can I claim the Jio Motorola edge50 Fusion Offer 2024?,The first recharge of Rs. 449 Jio prepaid plan should be done on or after 16 th  May 2024 by the eligible subscriber to avail the offer.
How do I Claim the Jio Motorola edge50 Fusion Offer 2024?,"The 40 discount coupons of Rs.50 each, that are received in your MyJio App, by performing a successful Jio recharge of Rs. 449, on or after 16th May 2024 , can be applied one at a time, against subsequent Jio recharges of Rs. 449, via MyJio app only. The discount coupons, if unused, will expire by 31st May 2030."
"Can the discount coupon, under the Jio Motorola edge50 Fusion Offer 2024 be transferred to any other Jio number?","No, the discount coupons are non-transferable."
"Will the Jio Motorola edge50 Fusion Offer 2024 be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio Motorola edge50 Fusion Offer 2024” is available for all eligible devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio Motorola edge50 Fusion Offer 2024 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable for both existing as well as new Jio subscribers."
Can I avail any other offer along with the Jio Motorola edge50 Fusion Offer 2024?,"No, two or more offers cannot be clubbed together."
"How will I get to know if the discount coupons, under the Jio Motorola edge50 Fusion Offer 2024 has been credited to my account? And where can I view the vouchers?",You will be notified through appropriate channel when the discount coupons have been credited to your account. You can view the discount coupons under the “My Vouchers” section in MyJio app.
Is the Jio Motorola edge50 FusionOffer 2024 applicable on all the variants of 5G devices?,It is applicable only on the Indian variants of eligible devices.
What is the Jio Realme 12 Series Offer 2024?,"The Jio Realme 12 Series Offer 2024 entitles a cashback of ₹2000 for eligible devices on the Jio network for the first time by performing a recharge of ₹449 Jio prepaid plan on or after 31st Jan 2024. 
 
 For eligible devices, upon 1st successful recharge of ₹449, 40 discount coupons of ₹50 each will be crediated to your MyJio app, which can be applied one at a time per recharge, against subsequent recharges of the Jio plan of ₹449, only via the MyJio app. 
  You will also get coupons from Swiggy, Ajio, Yatra, Abhibus, and Netmeds in your MyJio app."
From when is the Jio Realme 12 Series Offer 2024 valid?,"The Jio Realme 12 Series Offer 2024 is valid for eligible devices, purchased on or after 31st Jan 2024 and activated on the Jio network for the first time, on or after 31st Jan 2024. You have to do the first recharge of ₹449 Jio prepaid plan on or after 31st Jan 2024 to avail of the offer."
From when can I claim the Jio Realme 12 Series Offer 2024?,You have to do the first recharge of ₹449 Jio prepaid plan on or after 31st Jan 2024 to avail of the Jio Realme 12 Series Offer 2024.
How can I claim the Jio Realme 12 Series Offer 2024?,"Once you perform a successful Jio recharge of ₹449, on or after 31st Jan 2024, 40 discount coupons of ₹50 each will be credited to your MyJio app. You can apply the coupons one at a time, against subsequent Jio recharges of ₹449, via the MyJio app only. The discount coupons, if unused, will expire by 31st May 2030."
"Can the discount coupon, under the Jio Realme 12 Series Offer 2024, be transferred to any other Jio number?","No, the discount coupons under the Jio Realme 12 Series Offer 2024 are non-transferable."
"Will the Jio Realme 12 Series Offer 2024 be available, if I purchase eligible devices from e-commerce sites?","Yes, the Jio Realme 12 Series Offer 2024 is available for all eligible devices, purchased from stores as well as e-commerce sites in India during the offer period."
Is the Jio Realme 12 Series Offer 2024 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable to both existing as well as new Jio subscribers."
Can I avail of any other offer along with the Jio Realme 12 Series Offer 2024?,"No, you cannot club two or more offers."
"How will I get to know if the discount coupons, under the Jio Realme 12 Series Offer 2024, have been credited to my account? Where can I view the vouchers?",You will be notified through an appropriate channel when the discount coupons have been credited to your account. You can view the discount coupons under the ‘My Vouchers’ section of the MyJio app.
What is the validity of the Jio discount coupons for Jio Realme 12 Series Offer 2024 ?,The discount coupons of the Jio Realme 12 Series Offer 2024 are valid till 31st May 2030.
The Jio Realme 12 Series Offer 2024 is applicable on select variants/eligible devices (Edge 40 Neo). Please note that the offer is only applicable to the Indian variants of eligible devices.,The Jio Realme 12 Series Offer 2024 is applicable on select variants/eligible devices (Edge 40 Neo). Please note that the offer is only applicable to the Indian variants of eligible devices.
What is the Jio Motorola Fogo 4G Offer 2024?,"The Jio Motorola Fogo 4G Offer 2024 comes with the following benefits: 
 a) The offer entitles a cashback of ₹2000 for eligible devices on the Jio network for the first time by performing a recharge of ₹449 Jio prepaid plan on or after 30th January 2024. For eligible devices, upon 1st successful recharge of ₹449, 40 discount coupons of ₹50 each will be credited to the MyJio app which can be applied one at a time per recharge, against subsequent recharges of the Jio plan of ₹449, only via the MyJio app. 
 b) You will also get coupons from Ajio, Netmeds, and Yatra in the MyJio app."
What is the validity of the Jio Motorola Fogo 4G Offer 2024?,"The Jio Motorola Fogo 4G Offer 2024 is valid for eligible devices, purchased on or after 30th January 2024 and activated on the Jio network for the first time, on or after 30th January 2024. You have to do the first recharge of ₹449 Jio prepaid plan on or after 30th January 2024 to avail of the offer."
When can I claim the Jio Motorola Fogo 4G Offer 2024?,You have to do the first recharge of ₹449 Jio prepaid plan on or after 30th January 2024 to avail of the Jio Motorola Fogo 4G Offer 2024.
How do I Claim the Jio Motorola Fogo 4G Offer 2024?,"Once you perform a successful Jio recharge of ₹449, on or after 30th Jan 2024, 40 discount coupons of ₹50 each will be credited to your MyJio app. You can apply the coupons one at a time, against subsequent Jio recharges of ₹449, via the MyJio app only. The discount coupons, if unused, will expire by 31st May 2030."
"Can the discount coupon, under the Jio Motorola Fogo 4G Offer 2024 be transferred to any other Jio number?","No, the discount coupons under the Jio Motorola Fogo 4G Offer 2024 are non-transferable.No, the discount coupons under the Jio Motorola Fogo 4G Offer 2024 are non-transferable."
"Will the Jio Motorola Fogo 4G Offer 2024 be available, if I purchase eligible device from ecommerce sites?","Yes, the Jio Motorola Fogo 4G Offer 2024 is available to all eligible devices, purchased from stores as well as e-commerce sites in India during the offer period."
Is the Jio Motorola Fogo 4G Offer 2024 applicable to existing Jio subscribers as well?,"Yes, the offer is applicable to both existing as well as new Jio subscribers."
Can I avail any other offer along with the Jio Motorola Fogo 4G Offer 2024?,"Yes, the offer is applicable to both existing as well as new Jio subscribers."
"How will I get to know if the discount coupons, under the Jio Motorola Fogo 4G Offer 2024 has been credited to my account? And where can I view the vouchers?",You will be notified through an appropriate channel once the discount coupons are credited to your account. You can view the discount coupons under the ‘My Vouchers’ section of the MyJio app.
What is validity of Jio discount coupons for Jio Motorola Fogo 4G Offer 2024 ?,"The discount coupons of the Jio Motorola Fogo 4G Offer 2024 are valid till 31st May 2030. 
 Please note that all Partner Offers are valid till 31 st  March 2024."
Is the Jio MOTOROLA FOGO 4G Offer 2024 applicable on all the variants of 5G devices?,The Jio Motorola Fogo 4G Offer 2024 is applicable to select variants/eligible devices (Motorola Fogo 4G). Please note that the offer is only applicable to the Indian variants of eligible devices.
What is the Jio Vivo 40 Series Offer ?,"“Jio Vivo 40 Series Offer” entitles 2 vouchers of Bundle OTT apps benefits and 10 GB additional data for Eligible Subscribers who subscribe to Rs. 1199 Prepaid Plan on or after 21st Aug 2024. 
 The Offer shall be open for all Eligible Subscribers who purchases Eligible Device under Group-1 on or after 21st Aug 2024. 
 Benefits will be credited in MyJio application 
 
 
 
 
   
 Eligible Devices 
 
 
 Group - 1 
 Vivo 40 Series"
From when is Jio Vivo 40 Series Offer valid?,"The offer is valid for Eligible Devices purchased and activated on the RJIO network for the first time, on or after 21st Aug 2024, and upon subscription to Rs. 1199 Prepaid Plan on or after 21st Aug 2024."
"Will the Jio Vivo 40 Series Offer be available, if I purchase eligible device from ecommerce sites?","Yes, “Jio Vivo 40 Series ” is available for all Eligible Devices, purchased from stores as well as ecommerce sites in India during the offer period."
Is the Jio Vivo 40 Series Offer applicable to existing RJIO subscribers as well?,Offer is applicable for existing and new prepaid RJIO subscribers who have subscribed to Rs. 1199 Plan.
Can I avail any other offer along with the Jio Vivo 40 Series Offer ?,"No, two or more offers cannot be clubbed together."
What is the Jio Vivo X Fold Offer ?,"“Jio Vivo X Fold Offer” entitles a discount of ₹150/- in each Billing Cycle which can be availed maximum 15 times by Eligible Subscribers who activate new Postpaid connection and subscribe to ₹649 and above Postpaid Plan on or after 6th June 2024. 
 The Offer shall be open for all Eligible Subscribers who purchases Eligible Device under Group-1 on or after 6th June 2024. 
 The Discount shall be applied automatically at the end of the Billing Cycle. 
 
 
 
 
   
 Eligible Devices 
 
 
 Group - 1 
 Vivo X Fold Series"
From when is Jio Vivo X Fold Offer valid?,"The offer is valid for Eligible Devices purchased and activated on the RJIO network for the first time, on or after 6th June 2024, activating new Postpaid connection and upon subscription to ₹649 and above Postpaid Plan on or after 6th June 2024."
How do I Claim the Jio Vivo X Fold Offer ?,The Discount shall be automatically applied at the end of the Billing Cycle.
